acinum,year,loc1,loc2,time02,time04,time06,time08,time10,time12,time14,time16,time18,time20,time22,22~24
369,2008,충남,천안시,1,1,5,6,12,12,7,5,12,17,5,7
370,2008,충남,아산시,2,,,3,,2,,5,3,1,1,2
371,2008,충남,보령시,,,,2,6,1,3,3,6,5,2,
372,2008,충남,공주시,,,,1,1,3,1,1,,4,1,1
373,2008,충남,서산시,1,1,1,1,,,1,4,5,3,2,4
374,2008,충남,금산군,,,,1,2,1,2,2,1,4,,
375,2008,충남,태안군,,,,,,1,,1,2,,,1
376,2008,충남,연기군,,1,,4,4,,1,4,3,3,1,1
377,2008,충남,논산시,2,,1,,4,5,7,7,9,13,2,2
378,2008,충남,부여군,,,,2,3,2,2,,5,4,1,
379,2008,충남,서천군,,,,2,8,4,6,1,4,3,3,
380,2008,충남,청양군,,,,2,,3,1,,1,1,,1
381,2008,충남,홍성군,,,,1,3,1,1,1,3,4,4,
382,2008,충남,예산군,,,,2,4,1,1,4,2,7,,
383,2008,충남,당진시,1,,,,1,4,,,3,2,1,
384,2008,충남,계룡시,,,,1,,,1,1,1,,1,
385,2008,전북,전주시,6,5,4,23,29,19,18,27,29,40,15,16
386,2008,전북,군산시,1,,5,10,12,13,12,13,17,15,10,5
387,2008,전북,정읍시,2,,1,5,10,6,6,5,13,11,5,1
388,2008,전북,남원시,,,1,,11,6,9,7,5,12,9,
389,2008,전북,김제시,,,,3,5,3,4,5,8,5,3,1
390,2008,전북,완주군,,1,,3,1,,2,2,5,5,3,2
391,2008,전북,진안군,,,,,,,,,,,,
392,2008,전북,무주군,,,,,,,,,2,3,,
393,2008,전북,장수군,,,,,,,,1,2,,,1
394,2008,전북,임실군,,,,,,,,1,1,3,,
395,2008,전북,순창군,,,,,2,,2,,2,2,,
396,2008,전북,고창군,,,,2,2,3,,2,3,2,2,
397,2008,전북,부안군,,,,1,3,4,2,,3,4,2,
398,2008,전북,익산시,1,,3,11,15,11,10,8,18,15,9,3
399,2008,전남,목포시,2,1,2,10,11,6,5,4,8,9,10,3
400,2008,전남,여수시,,1,1,2,6,8,6,4,7,4,4,
401,2008,전남,순천시,,,,2,6,10,4,11,14,12,2,3
402,2008,전남,나주시,,1,,5,5,5,9,1,5,4,4,
403,2008,전남,광양시,1,,,6,2,4,1,9,7,5,6,3
404,2008,전남,담양군,,,,,1,3,,2,4,8,,
405,2008,전남,곡성군,,,,,1,1,,,2,2,,1
406,2008,전남,구례군,,,,,,,,4,1,1,2,
407,2008,전남,고흥군,,,,,2,3,,4,,1,,
408,2008,전남,보성군,,,,,,,,2,2,1,,1
409,2008,전남,화순군,1,,,3,3,1,1,1,3,1,1,1
410,2008,전남,장흥군,,,,3,2,4,3,2,3,,1,1
411,2008,전남,강진군,,,,,1,,,,3,3,,
412,2008,전남,해남군,,,,,1,,2,1,4,1,1,
413,2008,전남,영암군,,,,2,2,1,1,,2,4,1,
414,2008,전남,무안군,,,1,,3,2,1,1,1,1,,
415,2008,전남,함평군,,,,,,,,1,,,,
416,2008,전남,영광군,,,,,,,1,,1,4,1,
417,2008,전남,장성군,,,,1,2,,1,2,2,3,2,
418,2008,전남,완도군,,,,,,1,,,4,1,1,1
